year,month,Rainfall
1975,jan,301.6
1975,feb,76.1
1975,mar,63.8
1975,abr,189.4
1975,may,188.9
1975,jun,75.4
1975,jul,201.5
1975,ago,293.9
1975,sep,620.7
1975,oct,431.9
1975,nov,367
1975,dic,589.9
1976,jan,158.3
1976,feb,272.8
1976,mar,192.2
1976,abr,134
1976,may,215.9
1976,jun,394.4
1976,jul,179
1976,ago,278.7
1976,sep,444.2
1976,oct,368.6
1976,nov,190.1
1976,dic,205.4
1977,jan,87.3
1977,feb,90.1
1977,mar,133.9
1977,abr,375.9
1977,may,345.9
1977,jun,121.1
1977,jul,253.6
1977,ago,567.7
1977,sep,213.4
1977,oct,274.9
1977,nov,631.2
1977,dic,248.9
1978,jan,112.6
1978,feb,154.4
1978,mar,316.3
1978,abr,520.2
1978,may,464.6
1978,jun,264.3
1978,jul,257.4
1978,ago,331.5
1978,sep,191.8
1978,oct,447.9
1978,nov,482.9
1978,dic,208
1979,jan,332.7
1979,feb,426.6
1979,mar,220.6
1979,abr,343.2
1979,may,631.9
1979,jun,427.8
1979,jul,366.1
1979,ago,682.3
1979,sep,573.4
1979,oct,195.7
1979,nov,576.2
1979,dic,246.4
1980,jan,164.8
1980,feb,205
1980,mar,191.7
1980,abr,172
1980,may,366.8
1980,jun,211.1
1980,jul,338.5
1980,ago,247.3
1980,sep,219.7
1980,oct,270.7
1980,nov,186.4
1980,dic,330.3
1981,jan,187.9
1981,feb,221
1981,mar,282.8
1981,abr,485.8
1981,may,537.5
1981,jun,225.1
1981,jul,365.9
1981,ago,402.7
1981,sep,194.6
1981,oct,238.4
1981,nov,153.6
1981,dic,778.4
1982,jan,158.8
1982,feb,520.6
1982,mar,116.8
1982,abr,159.4
1982,may,547.7
1982,jun,165.5
1982,jul,473.3
1982,ago,383.5
1982,sep,446
1982,oct,178.8
1982,nov,231.7
1982,dic,363.5
1983,jan,136.8
1983,feb,35.2
1983,mar,107.8
1983,abr,249.5
1983,may,295.3
1983,jun,363.1
1983,jul,514.6
1983,ago,399.5
1983,sep,188.1
1983,oct,340.9
1983,nov,192.4
1983,dic,351.2
1984,jan,210.3
1984,feb,271.4
1984,mar,60.8
1984,abr,30.2
1984,may,353.6
1984,jun,271.5
1984,jul,277.1
1984,ago,259.5
1984,sep,291.6
1984,oct,366.2
1984,nov,604.7
1984,dic,279.9
1985,jan,114.1
1985,feb,279.6
1985,mar,388.9
1985,abr,171.8
1985,may,462.3
1985,jun,12.1
1985,jul,423.5
1985,ago,324.6
1985,sep,479.9
1985,oct,715.3
1985,nov,534.7
1985,dic,190.8
1986,jan,180.8
1986,feb,130.8
1986,mar,196.2
1986,abr,164.6
1986,may,560
1986,jun,170.5
1986,jul,284.2
1986,ago,499.5
1986,sep,168.8
