Species Richess,date
15.6667,Jan97
11.3333,Feb97
10.6667,Mar97
16.0000,Apr97
12.0000,May97
12.6667,Jun97
14.6667,Jul97
13.0000,Aug97
14.0000,Sep97
11.3333,Oct97
9.3333,Nov97
8.6667,Dec97
19.0000,Jan98
15.0000,Feb98
12.6667,Mar98
12.3333,Apr98
10.6667,May98
8.3333,Jun98
11.3333,Jul98
7.6667,Aug98
13.0000,Sep98
6.3333,Oct98
11.0000,Nov98
13.6667,Dec98
10.0000,Jan99
12.0000,Feb99
12.0000,Mar99
14.6667,Apr99
11.0000,May99
12.0000,Jun99
6.3333,Jul99
9.3333,Aug99
22.0000,Sep99
6.3333,Oct99
11.0000,Nov99
11.6667,Dec99
7.6667,Jan00
12.6667,Feb00
15.0000,Mar00
12.0000,Apr00
16.3333,May00
6.0000,Jun00
10.3333,Jul00
6.6667,Aug00
8.3333,Sep00
7.6667,Oct00
5.6667,Nov00
6.0000,Dec00
9.0000,Jan01
7.6667,Feb01
7.6667,Mar01
8.0000,Apr01
10.0000,May01
15.3333,Jun01
6.3333,Jul01
10.6667,Aug01
8.6667,Sep01
9.3333,Oct01
6.0000,Nov01
8.0000,Dec01
7.6667,Jan02
8.0000,Feb02
9.3333,Mar02
6.6667,Apr02
5.3333,May02
7.0000,Jun02
8.0000,Jul02
5.6667,Aug02
4.3333,Sep02
8.0000,Oct02
6.6667,Nov02
6.3333,Dec02
11.0000,Jan03
7.6667,Feb03
8.6667,Mar03
7.6667,Apr03
7.3333,May03
7.0000,Jun03
7.0000,Jul03
8.3333,Aug03
6.6667,Sep03
6.6667,Oct03
6.3333,Nov03
6.6667,Dec03
7.0000,Jan04
7.3333,Feb04
NA,Mar
NA,Apr
8.0000,May04
NA,Jun
NA,Jul
NA,Aug
4.0000,Set04
NA,Oct
NA,Nov
NA,Dec
NA,Jan
6.0000,Feb05
NA,Mar
NA,Apr
4.3333,May05
NA,Jun
NA,Jul
NA,Aug
5.6667,Set05
NA,Oct
NA,Nov
NA,Dec
NA,Jan
4.0000,Feb06
NA,Mar
NA,Apr
3.6667,May06
NA,Jun
NA,Jul
NA,Aug
5.3333,Set06
NA,Oct
NA,Nov
NA,Dec
NA,Jan
7.6667,Feb07
NA,Mar
NA,Apr
5.6667,May07
NA,Jun
NA,Jul
NA,Aug
5.0000,Set07
NA,Oct
NA,Nov
NA,Dec
NA,Jan
7.6667,Feb08
NA,Mar
NA,Apr
8.0000,May08
NA,Jun
NA,Jul
NA,Aug
10.0000,Set08
NA,Oct
NA,Nov
NA,Dec
NA,Jan
7.0000,Feb09
NA,Mar
NA,Apr
5.6667,May09
NA,Jun
NA,Jul
NA,Aug
4.3333,Sep09
NA,Oct
NA,Nov
NA,Dec
NA,Jan
4.0000,Feb10
NA,Mar
NA,Apr
5.0000,May10
NA,Jun
NA,Jul
NA,Aug
1.0000,Sep10
NA,Oct
NA,Nov
NA,Dec
NA,Jan
0.6667,Feb11
NA,Mar
NA,Apr
3.3333,May11
NA,Jun
NA,Jul
NA,Aug
4.0000,Sep11
NA,Oct
NA,Nov
NA,Dec
